상품명,쇼핑몰 상품 ID,네이버쇼핑 상품 ID,광고 계정 이름,광고 계정 ID,결과,결과 유형,결과당 비용,결과당 비용 유형,총비용,노출수,평균 CPM,클릭수,평균 CPC,클릭률(%),총 전환율(%),총 광고수익률(%)
알루미늄 게시판 메탈 아파트 엘리베이터 알림판 A4 인포메이션 6구 집게타입 1. 광고면 없음,4641366662,82185887137,hana1644,1872088,0,전환,0,전환당,0,9,0,0,0,0.00,0.00,0.00
A4 학원 게시판 알루미늄 사무실 알림판 메탈 8구 학급 공지 보드 교회 집게타입 1. 광고면 없음,4641357815,82185878290,hana1644,1872088,0,전환,0,전환당,0,23,0,0,0,0.00,0.00,0.00
메탈 엘리베이터 게시판 10구 알미늄 학급 알림판 사무실 승강기 A4 보드 집게타입 1. 광고면 없음,4641351100,82185871575,hana1644,1872088,0,전환,0,전환당,0,21,0,0,0,0.00,0.00,0.00
병원 진료 알림판 사무실 병원 학원 안내판 우드 게시판 1구 01_집게타입 광고면 없음,4641340785,82185861260,hana1644,1872088,0,전환,0,전환당,0,5,0,0,0,0.00,0.00,0.00
아파트게시판 학원 상가 사무실 게시판 우드프레임 2구 01_집게타입 광고면 없음,4641333913,82185854388,hana1644,1872088,0,전환,0,전환당,0,1,0,0,0,0.00,0.00,0.00
병원 진료 알림판 사무실 병원 학원 안내판 A4 우드게시판 3구 승강기 종이꽂이 엘리베이터 안내문 집게타입 광고면 없음,4641313957,82185834432,hana1644,1872088,0,전환,0,전환당,0,14,0,0,0,0.00,0.00,0.00
아파트게시판 우드 게시판 사무실 안내판 4구 01_집게타입 광고면 없음,4641307798,82185828273,hana1644,1872088,0,전환,0,전환당,0,6,0,0,0,0.00,0.00,0.00
아파트게시판 우드 게시판 사무실 안내판 인포메이션 6구 01_집게타입 광고면 없음,4641303576,82185824051,hana1644,1872088,0,전환,0,전환당,0,5,0,0,0,0.00,0.00,0.00
우드게시판 인포메이션 사무실 안내판 8구 01_집게타입 광고면 없음,4641296953,82185817428,hana1644,1872088,0,전환,0,전환당,0,29,0,0,0,0.00,0.00,0.00
병원 진료 아파트게시판 병원 학원 사무실 우드 게시판 10구 01_집게타입 광고면 없음,4641290531,82185811006,hana1644,1872088,0,전환,0,전환당,0,36,0,0,0,0.00,0.00,0.00
디자인게시판 알루미늄 게시판 골드 1구 집게형 01_광고면 없음,4641253444,82185773919,hana1644,1872088,0,전환,0,전환당,0,3,0,0,0,0.00,0.00,0.00
디자인게시판 알루미늄게시판 6구 집게형 01_광고면 없음,4641242352,82185762827,hana1644,1872088,0,전환,0,전환당,0,18,0,0,0,0.00,0.00,0.00
스티커 여성 생리대 위생용품 수거함 안내 스티커 투명 불투명 화장실 쓰레기 여기에 버려주세요 표시 화이트시트,4640830301,82185350776,hana1644,1872088,0,전환,0,전환당,0,2,0,0,0,0.00,0.00,0.00
365x260mm 피난안내도 비상 대피로 비상구 대피도 표지판 소방 피난로 위치 B4 기본타입 01,4640813101,82185333576,hana1644,1872088,0,전환,0,전환당,0,240,0,0,0,0.00,0.00,0.00
365x260mm 야광 피난안내도 화재 비상구 건물도면 대피로 소화기 위치 대피도 탈출구 표지 B4,4640806956,82185327431,hana1644,1872088,0,전환,0,전환당,0,4,0,0,0,0.00,0.00,0.00
900x260mm 피난안내도 천장형 대피도 화재시 소화기 위치 알림판 비상 탈출구 대피로 표시,4640801478,82185321953,hana1644,1872088,0,전환,0,전환당,0,134,0,0,0,0.00,0.00,0.00
표지판 주차금지 표지판 오뚜기 연결체인 체인 50m 노랑,4640787823,82185308298,hana1644,1872088,0,전환,0,전환당,280,18,15580,1,280,5.56,0.00,0.00
표지판 주의 표지 승용차 주정차 금지 안내판 소방차전용구역 주차 표지판 화재 대비 안전 표시 일반 차량 단속 주의 경고 알림,4640785399,82185305874,hana1644,1872088,0,전환,0,전환당,0,2,0,0,0,0.00,0.00,0.00
420x297mm 표지판 차량 주정차 시 과태료 부과 안내 소방차전용구역 표지판 승용차 주차 금지 표시판 화재 안전 대비,4640781756,82185302231,hana1644,1872088,0,전환,0,전환당,0,5,0,0,0,0.00,0.00,0.00
대형 표지판 주정차 금지 표시 소방차 전용구역 표지판 오뚜기 대형 사각 주차장 안내판 단면 뒷면무지,4640766694,82185287169,hana1644,1872088,0,전환,0,전환당,0,6,0,0,0,0.00,0.00,0.00
대형 소방차 전용구역 주차금지 현수막 차량 주정차 진입 경고 주차장 대형 플랜카드 소방 안전 사고예방 일반나무,4640751182,82185271657,hana1644,1872088,0,전환,0,전환당,0,8,0,0,0,0.00,0.00,0.00
약국 목욕탕 입구간판 주황 일반사각 오뚜기 외부차량 주차금지 상단 양면 무지 선택안함,4640641275,82185161750,hana1644,1872088,0,전환,0,전환당,0,14,0,0,0,0.00,0.00,0.00
대형 현수막 5000X900mm 신년 새해 현수막 구정 실사출력 대형 플랜카드 일반나무+끈,4640483215,82185003690,hana1644,1872088,0,전환,0,전환당,0,5,0,0,0,0.00,0.00,0.00
